ID,CODIGO-BARRA,DESCRICAO,PRECO-CUSTO,PRECO-VENDA,CATEGORIA
1,7891000248768,"KIT KAT AO LEITE 41,5G",,"R$ 5,60",CHOCOLATES
2,,"BALA MACIA ,MASTIGAVEL",,"R$ 39,90",
3,,MARSHMALLOW,,"R$ 81,90",MARSHMALLOW
4,,CARAMELOS E BALA DURA,,"R$ 49,90",
5,,BALA DE GOMA,,"R$ 42,90",BALA DE GOMA
6,,BALA GELATINA AGRANEL,,"R$ 84,90",BALA MACIA
8,,BALA DELIQUETE AMENDOIM E CONFETE,,"R$ 49,90",
51,78912359,BATON AO LEITE 16 GR,"R$ 1,05","R$ 2,30",CHOCOLATES
52,7895144028019,DROPS FRUIT-TELLA 41 GR,"R$ 0,00","R$ 3,60",DROPS
53,7896262304351,"DROPS MENTOS FRUIT 37,5 GR","R$ 0,00","R$ 3,60",DROPS
54,7896262304306,"DROPS MENTOS MINT 37,5 GR","R$ 0,00","R$ 3,60",DROPS
55,7895144603063,"DROPS MENTOS RED FRUIT 37,5 GR","R$ 0,00","R$ 3,60",DROPS
56,7896058506105,DROPS GOMETS TUBO FRUTAS 32 GR,"R$ 0,00","R$ 1,25",DROPS
57,7891151039710,"DROPS FREEGELLS AZEDINHO UVA 27,9 GR","R$ 0,66","R$ 1,25",DROPS
58,7891151039697,"DROPS FREEGELLS AZEDINHO MORANGO 27,9 GR","R$ 0,66","R$ 1,25",DROPS
59,7891151039574,"DROPS FREEGELLS CHOC 27,6 GR","R$ 0,00","R$ 1,25",DROPS
60,7896451900029,DROPS PASTILHA MINTY MENTA DOCILE 17 GR,"R$ 0,52","R$ 1,25",DROPS
61,7891151039598,"DROPS FREEGELLS 3X1 27,6 GR","R$ 0,00","R$ 1,25",DROPS
62,7891151041591,"DROPS FREEGELLS MELANCIA 27,9 GR","R$ 0,00","R$ 1,25",DROPS
63,7891151039895,"DROPS FREEGELLS VIT C 27,9 GR","R$ 0,00","R$ 1,25",DROPS
64,7891151039734,"DROPS FREEGELLS CEREJA 27,9 GR","R$ 0,00","R$ 1,25",DROPS
65,78938854,DROPS HALLS MELANCIA 28 GR,"R$ 0,00","R$ 2,20",DROPS
66,78938861,DROPS HALLS UVA VERDE 28 GR,"R$ 0,00","R$ 2,20",DROPS
67,78938816,"DROPS HALLS EXTRA FORTE 27,5 GR","R$ 0,00","R$ 2,20",DROPS
68,7898405067819,PIRULITO TOP FLASH ANEL DIAMANTE 10 GR,"R$ 0,00","R$ 8,99",PIRULITO
69,7898142865587,CHOCOLATE MEGA AERADO AO LEITE 22 GR,"R$ 0,00","R$ 2,50",CHOCOLATES
70,7897900312578,BARRA DE CEREAL TRIO BRIGADEIRO 20 GR,"R$ 1,97","R$ 2,95",BARRA DE CEREAL
71,7891000460207,PRESTIGIO AO LEITE 33 G,"R$ 0,00","R$ 3,60",CHOCOLATES
72,7891000251133,PRESTIGIO BRANCO 33 GR,"R$ 0,00","R$ 3,60",CHOCOLATES
73,7896058257281,DANIX SABOR CHOCOLATE 130 GR,"R$ 3,20","R$ 4,80",BOLACHAS
74,7891962067346,BOLINHO BAUDUCCO CHOCOLATE E BAUNILHA 40 GR,"R$ 0,00","R$ 2,80",BOLINHO
75,7891962000725,BOLINHO BAUDUCCO CHOCOLATE 40 GR,"R$ 0,00","R$ 2,80",BOLINHO
76,7891962031170,BOLINHO BAUDUCCO DUPLO CHOCOLATE 40 GR,"R$ 0,00","R$ 3,00",BOLINHO
77,7891962015620,BOLINHO BAUDUCCO MORANGO 40 GR,"R$ 0,00","R$ 2,80",BOLINHO
78,7891962050751,COOKIES ORIGINAL VISCONTI 60 GR,"R$ 0,00","R$ 3,70",BOLACHAS
79,7898024395232,NUTELLA 140 GR,"R$ 9,29","R$ 16,00",CHOCOLATES
80,7622300807399,BIS ORIGINAL 126 GR,"R$ 6,33","R$ 7,60",CHOCOLATES
81,7891000325131,CAIXA DE BOMBOM NESTLE ESPECIALIDADES 251 GR,"R$ 13,17","R$ 16,90",CHOCOLATES
82,7891008116632,CAIXA DE BOMBOM GAROTO 250 GR,"R$ 11,74","R$ 15,90",CHOCOLATES
83,7896877500209,BATATA CHIPS LISA PETISCO ORIGINAL 45 GR,"R$ 0,00","R$ 4,50",SALGADINHOS
84,7898088792039,SALGADINHO JOGADA PICANHA 35 GR,"R$ 1,09","R$ 2,25",SALGADINHOS
85,7898088792060,SALGADINHO JOGADA BACON 35 GR,"R$ 1,09","R$ 2,25",SALGADINHOS
86,7896481056123,SALGADINHO FABITOS CHURRASCO 50 GR,"R$ 0,00","R$ 2,25",SALGADINHOS
87,7898957757114,SALGADINHO KERUS CHURRASCO 43 GR,"R$ 0,00","R$ 2,25",SALGADINHOS
88,7891008121728,TALENTO AVELÃS 85 GR,"R$ 6,25","R$ 9,50",CHOCOLATES
89,7891008121629,TALENTO DOCE DE LEITE 85 GR,"R$ 0,00","R$ 9,50",CHOCOLATES
90,7891008121773,TALENTO CASTANHAS DO PARÁ 85 GR,"R$ 6,25","R$ 9,50",CHOCOLATES
91,7891008121575,TALENTO MEIO AMARGO AMENDOAS 85 GR,"R$ 0,00","R$ 9,50",CHOCOLATES
92,7896530719252,CHOCOLATE SUPREME AO LEITE 18 GR,"R$ 0,00","R$ 1,00",CHOCOLATES
93,7891000249239,"KIT KAT BRANCO 41,5 GR","R$ 2,74","R$ 5,60",CHOCOLATES
94,7891000248829,"KIT KAT DARK 41,5 GR","R$ 0,00","R$ 5,60",CHOCOLATES
95,7622210674050,BARRA DE CHOCOLATE DIAMANTE NEGRO 80 GR,"R$ 5,22","R$ 8,50",CHOCOLATES
96,7622210674319,BARRA DE CHOCOLATE LAKA 80 GR,"R$ 4,94","R$ 8,50",CHOCOLATES
97,7891330017348,CHOCOLATE NEUGEBAUER 90 GR,"R$ 0,00","R$ 6,99",CHOCOLATES
98,7622210567567,CHOCOLATE LACTA OREO 90 GR,"R$ 0,00","R$ 7,89",CHOCOLATES
99,7896306625145,TRENTO MASSIMO NUTS 30 GR,"R$ 0,00","R$ 3,25",CHOCOLATES
100,7896306623141,TRENTO MASSIMO MORANGO 30 GR,"R$ 0,00","R$ 3,25",CHOCOLATES
101,7896306618420,TRENTO MASSIMO CHOCOLATE 30 GR,"R$ 1,98","R$ 3,25",CHOCOLATES
102,7896306625022,TRENTO MASSIMO BRANCO COM COOKIES 25G,"R$ 0,00","R$ 3,25",CHOCOLATES
103,7896306625107,TRENTO MASSIMO DUO 30 GR,"R$ 0,00","R$ 3,25",CHOCOLATES
104,7896306617492,TRENTO DARK 32 GR,"R$ 0,00","R$ 2,95",CHOCOLATES
105,7622210573353,CHOCOLATE LAKA 34 GR,"R$ 0,00","R$ 4,60",CHOCOLATES
106,78912366,BATON BRANCO 16GR,"R$ 1,05","R$ 2,30",CHOCOLATES
107,7898142865082,"TORTUGUITA DE BRIGADEIRO 15,5 GR","R$ 0,99","R$ 2,50",CHOCOLATES
108,7898142865068,"TORTUGUITA BRANCO 15,5 GR","R$ 0,00","R$ 2,00",CHOCOLATES
109,7898094763559,CHOCOLATE BICHO MANIA 8 GR,"R$ 0,00","R$ 0,75",CHOCOLATES
110,7896969400882,AMASSYXUP DE CHOCOLATE COM AVELÃ 15 GR,"R$ 0,00","R$ 1,20",CHOCOLATES
111,7896383000446,MINI COLORETI 11 GR,"R$ 0,00","R$ 1,30",CHOCOLATES
112,7896969410201,AMASSYXUP DE MORANGO 15 GR,"R$ 0,00","R$ 1,20",CHOCOLATES
113,7898656685275,POP LITO APITO 11 GR,"R$ 1,30","R$ 2,60",PIRULITO
114,7898656685244,PIROLE ICE FRUTAS 15 GR,"R$ 0,00","R$ 4,75",PIRULITO
115,7898964630004,PIRULITO DIPLOKO UNICORNIO +NEON 10 GR,"R$ 0,00","R$ 2,99",PIRULITO
116,7898656685183,POP LITO CARROS PINTA LINGUA11 GR,"R$ 0,00","R$ 2,60",PIRULITO
117,7898656685152,POPLITO BEIJINHO 11 GR,"R$ 0,00","R$ 2,60",PIRULITO
118,7898656685121,POPLITO DINOSSAURO 11 GR,"R$ 0,00","R$ 3,40",PIRULITO
119,7898656685336,PIROLE ICE MILK 15 GR,"R$ 0,00","R$ 3,50",PIRULITO
120,7798040463413,PIRULITO SPRING POP MINIONS 14 GR,"R$ 0,00","R$ 3,60",PIRULITO
121,7898656685480,"PIRULITO POPLITO AZEMOLA 13,5 GR","R$ 0,00","R$ 2,99",PIRULITO
122,7898970162131,PIRULITO DIPLOKO NEON CAVEIRAS MEXICANAS 12 GR,"R$ 0,00","R$ 2,99",PIRULITO
123,7896064205207,BISCOITO AMANTEIGADO PEPPA PIG 100 GR,"R$ 0,00","R$ 2,90",BOLACHAS
124,7896064207942,BISCOITO LIGA DA JUSTIÇA SABOR CHOCOLATE 100 GR,"R$ 0,00","R$ 2,90",BOLACHAS
125,7896064207973,BISCOITO LIGA DA JUSTIÇA SABOR LEITE 100 GR,"R$ 0,00","R$ 2,90",BOLACHAS
126,7891330016068,CAIXA DE BOMBOM AMOR CARIOCA 200 GR,"R$ 8,43","R$ 11,90",CHOCOLATES
127,7896003711905,TEENS CHOCOLATE 30 GR,"R$ 1,99","R$ 3,00",BOLACHAS
128,,GARRAFA SQUEEZE BLOGUEIRA 2 LITROS,"R$ 0,00","R$ 28,90",GARRAFAS/SQUEEZE
129,7861002900117,FERRERO ROCHER DE 100G,"R$ 0,00","R$ 27,90",CHOCOLATES
130,7896003711912,TEENS CHOCOLATE BRANCO 30G,"R$ 0,00","R$ 2,70",BOLACHAS
131,7891008121874,TALENTO MORANGO 85G,"R$ 0,00","R$ 9,50",CHOCOLATES
132,7891008121674,TALENTO CEREAIS E PASSAS 85G,"R$ 0,00","R$ 9,50",CHOCOLATES
